Country;Subject Descriptor;Units;Scale;Country/Series-specific Notes;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;Estimates Start After
The Bahamas;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;37260,007;35105,088;33184,814;32717,784;33170,98;33921,452;34756,021;35867,93;36945,631;38949,037;39924,057;40366,752;40861,39;39779,918;39584,615;40387,788;40901,948;40998,535;39579,15;37495,252;37651,771;37464,161;38194,02;36418,525;36840,387;37012,784;36637,407;36821,566;37422,485;37269,259;31507,937;31783,08;2018
Bahrain;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;43198,221;42418,502;44699,054;46848,977;47097,887;46756,829;47021,612;46873,72;47868,801;49408,685;51500,173;50888,649;48948,387;48357,607;48013,993;47510,515;46811,959;46847,329;46748,225;45010,86;44826,715;47228,895;48424,648;49245,997;48989,608;48164,15;48006,927;47486,023;48239,388;50118,407;47941,392;48617,207;2020
Bangladesh;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1544,411;1572,34;1611,442;1645,06;1682,902;1725,938;1774,261;1829,334;1882,098;1944,393;2013,571;2071,455;2132,642;2217,11;2314,843;2424,463;2555,894;2689,306;2805,306;2921,595;3063,124;3224,924;3387,438;3550,664;3731,97;3943,009;4181,098;4450,313;4756,735;5113,78;5012,938;5246,099;2020
Barbados;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;14045,46;13451,14;12640,445;12697,739;12906,267;13120,482;13590,456;14181,179;14656,441;14651,055;15251,017;14843,876;14917,607;15197,84;15364,628;15920,316;16759,773;17059,896;17106,502;16171,09;15739,025;15575,634;15451,414;15183,509;15117,441;15441,95;15782,476;15817,713;15685,702;15444,602;12632,527;13016,379;2019
Belarus;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;8980,749;8868,627;7999,974;7375,372;6520,095;5826,438;6008,822;6728,35;7331,216;7596,736;8057,661;8465,717;8944,296;9640,576;10818,209;11921,309;13204,752;14421,557;15959,194;16033,037;17317,196;18279,55;18618,567;18815,51;19128,718;18378,652;17882,388;18334,758;18954,128;19267,037;19122,758;19644,053;2020
Belgium;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;35703,009;36214,79;36640,623;36121,234;37167,574;37941,455;38395,492;39745,531;40437,572;41782,127;43227,859;43599,67;44144,674;44404,252;45810,467;46652,432;47544,553;48952,132;48791,578;47422,216;48389,919;48490,849;48517,353;48468,503;49044,838;49794,663;50096,294;50726,554;51421,108;52078,713;48522,684;51171,729;2020
Belize;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;4817,845;5231,758;5715,375;5896,278;5737,683;5627,947;5566,904;5563,737;5566,151;5941,333;6534,473;6692,756;6860,377;7312,203;7417,522;7368,986;7526,358;7369,314;7427,206;7247,92;7294,956;7219,452;7204,971;7112,194;7210,247;7211,055;7024,546;6969,153;6988,599;6929,951;5814,011;6166,376;2020
Benin;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;2195,706;2212,495;2200,045;2248,342;2216,514;2274,351;2299,226;2358,564;2380,503;2411,991;2478,218;2532,634;2570,787;2579,698;2614,212;2581,642;2606,817;2685,13;2738,194;2724,085;2704,705;2707,869;2759,848;2876,904;2975,854;2945,97;2961,44;3044,517;3159,366;3283,835;3316,954;3404,115;2017
Bhutan;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;2652,819;2787,903;2883,705;3027,366;3137,252;3345,683;3517,815;3655,844;3781,164;3938,487;4099,575;4259,78;4532,5;4867,309;5110,016;5354,267;5634,98;6282,23;6886,105;7196,82;7783,444;8447,246;8886,366;9092,628;9338,277;9738,407;10332,502;10851,904;11208,403;11639,557;11431,725;11105,023;2015
Bolivia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;4680,408;4826,159;4805,311;4871,243;4956,925;5087,435;5205,62;5357,025;5517,514;5435,123;5407,991;5396,623;5429,626;5476,696;5604,611;5750,965;5924,145;6090,763;6358,72;6465,642;6625,064;6860,401;7100,323;7467,423;7757,096;8013,704;8233,759;8456,073;8688,546;8757,259;7874,197;8144,912;2017
Bosnia and Herzegovina;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;n/a;4581,207;5668,808;6458,794;7132,063;7432,96;7600,435;7976,011;8281,556;8792,731;9157,856;9673,909;10268,678;10866,178;10829,451;11006,816;11240,309;11331,12;11803,798;12145,042;12713,624;13280,085;13836,658;14483,749;14993,046;14440,485;14917,61;2018
Botswana;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;8962,367;9245,824;8966,099;9072,506;8766,2;9150,385;9456,828;9989,325;9853,422;10602,208;10629,957;10457,135;10896,893;11205,353;11305,597;11600,311;12318,353;13057,085;13581,193;12298,841;13126,23;13724,684;14166,538;15597,634;16042,07;14895,931;15654,69;15948,031;16243,314;16386,865;14688,115;15705,543;2019
Brazil;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;10744,855;10673,586;10451,805;10766,104;11163,164;11476,904;11395,935;11600,775;11461,361;11342,661;11669,354;11667,507;11869,496;11858,178;12393,264;12643,123;12998,511;13643,385;14190,395;14027,782;14936,012;15394,31;15554,689;15886,782;15831,188;15137,906;14522,027;14596,869;14736,819;14827,285;14117,346;14796,018;2019
Brunei Darussalam;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;77449,396;77715,511;79367,155;77772,635;78053,03;79787,873;80079,723;77015,293;74653,709;75136,386;75400,255;75597,72;75934,024;76931,682;75148,607;75692,593;77497,809;73472,445;69665,078;67424,294;68072,726;69441,781;69139,424;66898,52;64532,73;63523,174;61236,046;60280,819;58553,732;58555,741;59071,406;60099,311;2020
Bulgaria;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;17607,461;15847,239;14663,548;13110,502;12780,852;12719,52;11819,668;10220,534;10733,483;9891,394;10259,482;10999,89;11722,009;12396,261;13263,197;14289,867;15340,311;16429,734;17506,781;17011,768;17241,067;18074,858;18245,569;18403,219;18863,398;19748,773;20653,171;21533,74;22358,212;23346,138;22489,427;23652,361;2020
Burkina Faso;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1018,128;1081,14;1054,863;1062,201;1047,215;1077,091;1163,124;1202,646;1254,862;1309,403;1296,748;1343,544;1362,28;1426,617;1447,504;1527,022;1574,73;1590,83;1632,949;1631,194;1716,358;1775,779;1834,543;1883,797;1907,949;1925,332;1981,43;2044,387;2120,33;2178,323;2157,618;2236,428;2018
Burundi;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1055,413;1084,642;1065,243;1000,541;945,837;854,913;772,302;762,966;785,268;771,27;762,145;752,266;747,541;748,139;753,704;783,06;801,411;804,928;817,097;821,152;836,463;844,029;855,054;870,183;880,664;821,668;791,413;770,707;760,306;751,762;722,275;712,696;2016
Cabo Verde;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;2637,337;2612,487;2628,337;2753,643;2954,203;3094,152;3221,409;3387,635;3592,129;3933,686;4134,258;4302,589;4445,81;4695,826;4847,978;5055,04;5444,52;5877,428;6200,936;6057,605;6080,134;6250,739;6245,69;6221,664;6184,412;6170,77;6381,557;6535,104;6864,147;7167,746;6036,153;6203,357;2018
Cambodia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1017,86;1058,166;1093,603;1098,256;1139,905;1170,034;1203,129;1217,805;1243,249;1368,976;1467,855;1561,618;1633,352;1741,449;1890,103;2107,363;2300,142;2499,598;2629,895;2603,23;2728,46;2889,917;3068,253;3259,278;3455,676;3660,664;3871,956;4101;4363,211;4638,215;4470,176;4511,432;2019
Cameroon;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;3218,29;3004,594;2826,806;2657,425;2516,099;2528,445;2580,389;2643,497;2697,38;2730,501;2750,511;2795,872;2837,961;2889,281;3003,251;2982,025;3002,135;3064,125;3084,985;3067,222;3086,221;3126,786;3180,772;3262,763;3362,665;3458,693;3524,443;3554,522;3603,548;3642,276;3495,695;3532,135;2019
Canada;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;34853,972;33694,312;33593,093;34092,986;35245,657;35820,459;36022,7;37190,072;38310,301;39965,605;41650,361;41952,425;42752,974;43117,353;44033,292;45016,847;45740,722;46234,5;46205,531;44343,806;45206,134;46165,98;46482,402;47063,78;47924,294;47853,972;47831,314;48688,071;49186,081;49392,355;46227,626;48582,284;2020
Central African Republic;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1317,787;1277,966;1186,695;1144,584;1258,093;1268,188;1163,599;1185,034;1198,919;1208,865;1143,54;1152,554;1156,918;1112,472;1093,143;1106,064;1138,185;1162,499;1170,587;1180,613;1211,526;1242,714;1300,407;824,932;822,636;852,786;884,431;912,808;933,458;945,181;937,55;911,216;2004
Chad;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1039,384;1111,379;1102,221;1045,292;1067,411;1024,525;1011,451;1032,669;1066,567;1021,998;976,379;1049,705;1095,758;1209,507;1556,345;1625,219;1579,44;1576,682;1571,8;1583,61;1739,941;1684,383;1771,95;1812,236;1874,207;1846,951;1690,283;1600,064;1588,153;1587,073;1528,144;1497,907;2004
Chile;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;9592,305;10145,147;11015,896;11571,28;11972,489;12841,61;13532,397;14341,537;14774,194;14524,996;15119,51;15440,834;15744,757;16217,972;17206,816;18013,348;18958,558;19684,962;20167,478;19631,631;20552,37;21569,469;22472,933;23158,732;23334,839;23626,514;23775,067;23720,429;24166,475;23957,258;22149,861;24262,405;2020
China;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1409,165;1520,403;1717,489;1933,654;2161,272;2373,174;2581,59;2792,097;2984,049;3187,053;3430,959;3690,639;4001,128;4375,732;4790,101;5304,324;5947,033;6759,277;7370,108;8027,091;8836,395;9621,154;10299,393;11034,449;11770,838;12535,035;13306,594;14151,786;15050,183;15893,003;16216,08;17469,513;2020
Colombia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;8359,163;8383,256;8576,677;8896,633;9188,512;9504,86;9544,875;9744,412;9649,936;9127,824;9255,846;9291,706;9405,686;9652,775;10043,009;10387,948;10954,694;11558,943;11806,919;11811,493;12208,673;12920,022;13291,835;13840,947;14327,702;14608,597;14749,139;14763,897;14879,138;15013,554;13721,926;14570,065;2020
Comoros;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;2855,804;2768,788;2909,739;2920,584;2745,091;2839,174;2765,376;2826,883;2768,316;2784,407;2699,976;2787,594;2855,443;2850,997;2869,166;2960,235;2834,326;2785,564;2822,589;2839,504;2870,752;2912,036;2925,831;2976,362;2958,885;2917,91;2938,604;2980,06;3006,668;2978,794;2886,184;2855,571;2015
Democratic Republic of the Congo;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;1939,007;1718,536;1479,988;1231,766;1114,811;1109,145;1057,643;950,928;893,234;839,253;751,558;715,678;715,454;732,537;757,686;778,968;794,429;817,07;839,816;835,612;865,684;894,827;926,788;972,456;1029,791;1065,243;1055,573;1059,811;1085,837;1097,949;1082,445;1100,462;2020
Republic of Congo;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;5349,538;5367,999;5456,016;5392,967;5187,694;5261,843;5312,943;5131,32;5454,2;5125,484;5588,147;5188,933;5112,246;5010,431;4878,587;5198,022;5476,242;4989,311;5174,591;5635,876;6044,478;6027,136;6465,038;6262,419;6520,044;6135,166;5344,951;4986,526;4629,15;4496,772;4028,705;3923,997;2018
Costa Rica;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;9872,699;9866,14;10539,016;10998,447;11162,689;11300,746;11148,619;11463,63;11987,243;12197,338;12760,615;12727,738;12936,715;13283,944;13653,137;13982,474;14784,531;15771,542;16279,9;15902,111;16443,351;16948,668;17546,98;17756,299;18156,749;18593,603;19144,996;19711,653;20002,166;20239,645;19216,371;19759,334;2020
CÙte d'Ivoire;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;4762,989;4581,178;4396,602;3994,134;3884,582;3985,239;4190,65;4318,193;4416,286;4373,997;4174,976;4074,116;3904,653;3753,965;3703,904;3672,18;3633,377;3603,808;3601,801;3624,67;3604,096;3342,138;3611,334;3846,174;4078,372;4326,527;4519,967;4729,649;4927,422;5101,837;5071,743;5237,648;2015
Croatia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;13976,746;13152,393;14235,934;15423,865;16180,253;16961,124;17549,451;17182,943;18531,138;19416,09;20518,508;21669,866;21893,975;22821,856;23972,112;25209,775;25698,605;23843,468;23588,164;24294,712;23785,86;23746,374;23765,743;24540,499;25581,449;26775,702;27776,647;28732,046;26574,021;28470,661;2020
Cyprus;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;24967,656;24496,96;26102,132;25646,626;26598,402;28948,124;28820,604;29138,742;30512,419;31678,459;33197,057;34160,077;35030,408;35537,618;36849,776;38102,278;39311,446;40557,285;41039,484;39172,764;38878,399;38076,757;35814,592;33318,232;33009,158;34513,601;36678,702;38277,365;39843,463;40522,281;37929,82;39195,8;2020
Czech Republic;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;n/a;n/a;22775,971;23833,843;23738,38;23676,731;24026,624;25015,951;25893,245;26379,253;27347,479;28656,473;30537,756;32525,384;34234,504;34851,057;32965,436;33650,931;34162,84;33834,281;33784,404;34560,822;36333,726;37200,66;39031,087;40160,978;41223,225;38674,638;40002,474;2019
Denmark;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;39182,94;39644,891;40299,045;40158,245;42167,869;43286,059;44243,985;45477,6;46310,778;47508,304;49137,148;49363,703;49417,481;49469,825;50656,614;51710,876;53574,778;53866,237;53310,076;50367,043;51091,815;51533,522;51467,39;51743,654;52349,88;53268,953;54540,788;55673,456;56463,278;57409,973;56065,508;58021,932;2019
Djibouti;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;4306,949;4003,462;3972,237;3683,393;3610,759;3440,728;3244,051;3121,163;3034,679;3036,227;2982,868;2972,386;3011,305;3055,342;3091,56;3140,331;3245,012;3361,675;3509,328;3516,688;3608,601;3810,64;3928,59;4054,247;4266,108;4516,686;4750,586;4912,555;5247,485;5556,253;5529,768;5724,017;2018
Dominica;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;7906,065;8041,445;8204,005;8380,692;8382,847;8636,146;8903,554;9097,37;9439,909;9472,615;9693,424;9686,534;9419,185;10024,723;10337,869;10413,085;10905,931;11607,088;12442,412;12305,582;12405,942;12378,208;12469,224;12312,817;12755,495;12276,707;12607,314;12071,428;12492,659;12922,488;11324,583;11705,618;2011
Dominican Republic;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;6216,827;6168,018;6736,661;7101,827;7161,586;7443,124;7761,731;8318,833;8736,926;9117,248;9403,746;9504,656;9800,074;9538,207;9659,024;10439,471;11267,424;11967,654;12211,27;12194,671;13074,427;13341,204;13561,014;14071,387;14912,894;15791,32;16684,411;17301,383;18334,612;19090,477;17652,971;19165,806;2019
Ecuador;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;7952,79;8170,49;8278,705;8264,416;8442,286;8470,162;8470,358;8698,203;8848,496;8306,909;8274,159;8416,155;8574,25;8658,239;9208,567;9576,103;9823,595;9861,92;10301,95;10173,614;10340,203;10968,062;11396,852;11768,183;12021,476;11847,542;11525,328;11623,715;11603,144;11440,185;10407,309;10550,021;2020
Egypt;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;6655,62;6657,646;6542,17;6525,59;6666,013;6807,719;6994,138;7247,892;7641,998;7940,521;8184,933;8304,689;8401,968;8491,775;8673,449;8881,871;9292,577;9761,93;10237,957;10479,533;10766,918;10711,909;10684,914;10763,738;10796,83;10990,313;11215,978;11158,252;11521,274;11940,246;12123,994;12282,443;2020
El Salvador;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;5287,24;5294,016;5588,163;5833,349;6028,6;6239,131;6222,261;6354,488;6465,078;6551,773;6577,074;6591,01;6655,521;6723,694;6750,017;6900,443;7167,759;7269,596;7392,843;7208,15;7328,719;7575,628;7754,687;7892,445;7990,454;8143,221;8309,434;8454,053;8614,01;8795,449;8056,96;8740,509;2019
Equatorial Guinea;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;690,254;660,344;850,246;908,329;1024,996;1251,183;1840,545;4391,109;5267,62;6395,434;12928,331;19865,687;22813,403;25050,958;31303,001;32419,368;33005,961;36347,342;40889,487;39583,925;34459,656;35113,411;36409,998;33450,827;32231,181;28149,294;24698,8;22449,899;20309,552;18446,489;16967,775;17110,708;2015
Eritrea;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;1199,705;1365,744;1667,068;1716,655;1880,311;2029,779;2059,355;2034,611;1740,451;1826,685;1801,195;1672,471;1622,518;1601,296;1536,323;1517,168;1195,957;1317,105;1437,016;1781,739;1795,235;1592,332;2066,02;1624,28;1726,77;1537,449;1717,681;1761,128;1725,909;1749,022;2006
Estonia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;n/a;n/a;n/a;12169,503;12248,018;12761,519;13591,372;15541,354;16372,332;16254,8;17808,189;18997,957;20413,272;22103,038;23748,464;26159,653;28884,094;31215,352;29692,895;25397,992;26078,191;28057,354;29066,947;29596,009;30548,735;31113,334;32085,781;33903,126;35181,984;36488,517;35341,816;38335,629;2019
Eswatini;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;5262,336;5206,977;5252,457;5308,716;5332,542;5478,454;5567,142;5612,987;5704,722;5818,069;5865,548;5872,925;6074,324;6253,061;6421,698;6746,565;7087,983;7337,869;7344,23;7405,188;7630,897;7746,719;8106,538;8360,415;8377,836;8503,038;8537,417;8650,846;8769,196;8878,077;8571,621;8610,587;2017
Ethiopia;Gross domestic product per capita, constant prices;"Purchasing power parity; 2017 international dollar";Units;See notes for:  Gross domestic product, constant prices (National currency) Population (Persons).;765,065;686,199;604,155;662,211;663,286;682,232;751,849;751,469;700,455;724,709;775,02;808,127;798,888;736,923;802,283;880,479;956,855;1042,655;1141,174;1235,523;1344,969;1474,7;1577,755;1706,646;1852,786;2013,264;2140,084;2321,437;2460,876;2641,01;2756,871;2767,418;2016
